timestamp,power_demand_mw,wind_turbine_power_mw,solar_power_mw,coal_turbine_power_mw
2023-06-15 00:00:00,311.4992,0.302,0.0,196.62422012159735
2023-06-15 00:00:05,312.2462,0.3026,0.0062,202.97328049250513
2023-06-15 00:00:10,313.9539,0.3093,0.0102,200.43965832911624
2023-06-15 00:00:15,312.5187,0.2875,0.0,203.647579210214
2023-06-15 00:00:20,312.7738,0.311,0.0313,201.51899548209175
2023-06-15 00:00:25,313.2721,0.3233,0.0,200.7860207504046
2023-06-15 00:00:30,311.6321,0.3046,0.01,197.39246123363688
2023-06-15 00:00:35,312.8768,0.2788,0.0,197.83339935664983
2023-06-15 00:00:40,313.2328,0.2777,0.0478,200.17188859422572
2023-06-15 00:00:45,311.0956,0.2641,0.0105,198.42210652044196
2023-06-15 00:00:50,311.673,0.2796,0.0047,201.1490274063372
2023-06-15 00:00:55,312.3525,0.3061,0.0257,201.1101941743671
2023-06-15 00:01:00,311.6629,0.3157,0.0,203.572762912527
2023-06-15 00:01:05,311.8079,0.3268,0.0,201.39381426460645
2023-06-15 00:01:10,312.288,0.2935,0.0,201.240817712054
2023-06-15 00:01:15,311.822,0.2919,0.0,202.78757305393168
2023-06-15 00:01:20,311.9757,0.3218,0.0,201.46597535689068
2023-06-15 00:01:25,313.1875,0.2813,0.0007,198.707730164573
2023-06-15 00:01:30,311.3242,0.3281,0.0304,204.73344596642113
2023-06-15 00:01:35,313.0961,0.2934,0.0,202.64706949816383
2023-06-15 00:01:40,312.3258,0.2834,0.0,201.6666016951187
2023-06-15 00:01:45,310.9005,0.3253,0.0,204.46443716187173
2023-06-15 00:01:50,312.6742,0.2845,0.0278,195.92160413518323
2023-06-15 00:01:55,312.1138,0.283,0.0201,201.66503881007563
2023-06-15 00:02:00,311.6923,0.3396,0.0,197.1447865805157
2023-06-15 00:02:05,311.8534,0.304,0.0227,197.53401867487736
2023-06-15 00:02:10,312.9945,0.2827,0.0152,201.05306842112924
2023-06-15 00:02:15,312.0691,0.3044,0.0127,204.6185067041001
2023-06-15 00:02:20,311.6802,0.2877,0.018,201.13517156744226
2023-06-15 00:02:25,311.6332,0.3083,0.0,201.38749834195744
2023-06-15 00:02:30,311.8577,0.2882,0.0299,200.73486193660125
2023-06-15 00:02:35,312.5461,0.3119,0.0,201.59465573150564
2023-06-15 00:02:40,311.9628,0.301,0.001,197.9111720893741
2023-06-15 00:02:45,311.0799,0.335,0.0071,196.51141254518194
2023-06-15 00:02:50,311.152,0.3004,0.0071,197.0510291221479
2023-06-15 00:02:55,312.0404,0.3003,0.0,203.46315249547357
2023-06-15 00:03:00,310.7566,0.3155,0.0,203.40958834973748
2023-06-15 00:03:05,311.4607,0.2957,0.0,200.57131748897274
2023-06-15 00:03:10,312.3108,0.2972,0.0062,197.26562463332863
2023-06-15 00:03:15,311.4951,0.3089,0.0211,203.2764738143726
2023-06-15 00:03:20,312.9482,0.2835,0.0,201.8074979561057
2023-06-15 00:03:25,311.8259,0.2831,0.0,197.25450294913747
2023-06-15 00:03:30,311.8416,0.3153,0.0,196.3134855656584
2023-06-15 00:03:35,311.5189,0.3043,0.0215,201.92815372575822
2023-06-15 00:03:40,310.7085,0.3094,0.0061,199.01680509765376
2023-06-15 00:03:45,312.9109,0.2947,0.0,203.87594351850458
2023-06-15 00:03:50,313.4613,0.31,0.0,198.54179162789677
2023-06-15 00:03:55,311.6552,0.287,0.0314,198.86082411950764
2023-06-15 00:04:00,310.8684,0.2828,0.0227,201.9034806520347
2023-06-15 00:04:05,312.2731,0.2685,0.0092,199.31033182881876
2023-06-15 00:04:10,311.8745,0.294,0.0206,202.93189057861647
2023-06-15 00:04:15,311.0633,0.2956,0.0,195.93958972612555
2023-06-15 00:04:20,312.1319,0.2893,0.0212,204.54184223947456
2023-06-15 00:04:25,311.7568,0.2895,0.03,201.69388285687535
2023-06-15 00:04:30,310.8831,0.3194,0.0,197.17634843220964
2023-06-15 00:04:35,313.0829,0.2937,0.0501,203.1987420490702
2023-06-15 00:04:40,311.749,0.306,0.0484,202.05897162168117
2023-06-15 00:04:45,311.5983,0.2933,0.0,202.16896784398395
2023-06-15 00:04:50,310.9476,0.294,0.017,195.66243893247793
2023-06-15 00:04:55,311.9039,0.2872,0.0,200.8857689771858
2023-06-15 00:05:00,312.461,0.3199,0.0,199.0469120788258
2023-06-15 00:05:05,312.1034,0.2906,0.0261,195.9059002393696
2023-06-15 00:05:10,311.2288,0.3161,0.0105,202.41680767872452
2023-06-15 00:05:15,312.2395,0.3412,0.0683,203.60623150022775
2023-06-15 00:05:20,311.9056,0.3055,0.0124,204.47953672678057
2023-06-15 00:05:25,312.4658,0.276,0.0192,203.54204861173363
2023-06-15 00:05:30,312.6195,0.3142,0.0,197.6719681829686
2023-06-15 00:05:35,311.7376,0.3291,0.0,196.95691248171428
2023-06-15 00:05:40,311.9873,0.3095,0.0,200.23934784643862
2023-06-15 00:05:45,312.9543,0.3255,0.0,195.25118515211744
2023-06-15 00:05:50,311.3213,0.3406,0.0,196.14348083688407
2023-06-15 00:05:55,310.7516,0.3022,0.025,201.6715416685055
2023-06-15 00:06:00,310.5993,0.338,0.0,196.1914965030757
2023-06-15 00:06:05,311.0944,0.3216,0.0,200.43126820075076
2023-06-15 00:06:10,312.2143,0.3506,0.0,204.59980424962222
2023-06-15 00:06:15,310.3947,0.2981,0.0,197.17173613102105
2023-06-15 00:06:20,311.715,0.3244,0.0189,201.2807173467852
2023-06-15 00:06:25,311.7474,0.3193,0.0114,197.93509757041036
2023-06-15 00:06:30,310.97,0.3099,0.0,195.71941644807194
2023-06-15 00:06:35,310.275,0.3676,0.0,203.13864044709894
2023-06-15 00:06:40,311.2198,0.3645,0.0,197.9070174385707
2023-06-15 00:06:45,310.3222,0.3087,0.0363,198.62388199482865
2023-06-15 00:06:50,311.3684,0.3083,0.0015,196.00795430490334
2023-06-15 00:06:55,312.0107,0.3312,0.0,202.5536700583731
2023-06-15 00:07:00,311.6139,0.2977,0.0269,198.40178898863854
2023-06-15 00:07:05,311.2554,0.2889,0.0082,204.64970502243116
2023-06-15 00:07:10,310.9528,0.3228,0.0,197.8911578049113
2023-06-15 00:07:15,311.6427,0.3462,0.0274,201.33102586746142
2023-06-15 00:07:20,311.3829,0.2986,0.0236,200.58734641485015
2023-06-15 00:07:25,312.6782,0.3026,0.0,203.4106196762943
2023-06-15 00:07:30,310.8284,0.292,0.0,196.4251812472552
2023-06-15 00:07:35,311.0887,0.2995,0.0072,196.52013606639798
2023-06-15 00:07:40,311.6474,0.3407,0.018,200.80221147180038
2023-06-15 00:07:45,312.5486,0.3081,0.0077,201.98858399433635
2023-06-15 00:07:50,311.979,0.3099,0.0231,204.5255283590774
2023-06-15 00:07:55,311.3892,0.2995,0.0,202.10885381836727
2023-06-15 00:08:00,310.4411,0.2889,0.0,199.1061286249083
2023-06-15 00:08:05,311.1323,0.325,0.0,195.95350261273833
2023-06-15 00:08:10,311.552,0.2968,0.0066,199.1064387744522
2023-06-15 00:08:15,312.3706,0.3216,0.0,199.02979156056256
2023-06-15 00:08:20,311.3197,0.2688,0.0109,201.94240520480508
2023-06-15 00:08:25,311.299,0.3153,0.0241,197.31012321155595
2023-06-15 00:08:30,311.0325,0.3045,0.0,203.38986779368003
2023-06-15 00:08:35,311.3144,0.3354,0.0137,203.36000122221134
2023-06-15 00:08:40,311.6142,0.294,0.0,204.97371612183164
2023-06-15 00:08:45,311.2291,0.3319,0.0,197.44076825419435
2023-06-15 00:08:50,310.8814,0.3377,0.0,196.930842111665
2023-06-15 00:08:55,311.1298,0.3348,0.0,203.44402526675356
2023-06-15 00:09:00,311.4448,0.3193,0.0004,202.8851250999683
2023-06-15 00:09:05,311.5505,0.3072,0.0,200.00198939361684
2023-06-15 00:09:10,311.6743,0.3057,0.0,201.30247198362343
2023-06-15 00:09:15,311.9165,0.3054,0.0,195.07711461227814
2023-06-15 00:09:20,311.0051,0.2993,0.0,202.12090557009904
2023-06-15 00:09:25,309.5475,0.3202,0.0,197.69122260314805
2023-06-15 00:09:30,311.1825,0.2831,0.0,198.42377852565522
2023-06-15 00:09:35,310.6141,0.3327,0.0,203.91689969424073
2023-06-15 00:09:40,310.3735,0.305,0.0285,202.6635375793145
2023-06-15 00:09:45,312.0428,0.3116,0.0,196.00119591914319
2023-06-15 00:09:50,311.1795,0.2966,0.0,197.4829142552133
2023-06-15 00:09:55,311.5139,0.3011,0.0039,199.77326158868894
2023-06-15 00:10:00,310.6027,0.3319,0.0032,203.45333597397516
2023-06-15 00:10:05,310.7282,0.2893,0.0235,198.51585515267405
2023-06-15 00:10:10,311.1358,0.2934,0.0281,201.98099579918028
2023-06-15 00:10:15,312.274,0.3186,0.0042,198.1538718735
2023-06-15 00:10:20,310.9038,0.3216,0.0129,196.3076063670258
2023-06-15 00:10:25,310.5255,0.3409,0.0,197.5021159857632
2023-06-15 00:10:30,310.7305,0.3124,0.031,203.73012311236
2023-06-15 00:10:35,312.0877,0.3374,0.0196,203.39378349946617
2023-06-15 00:10:40,311.5564,0.307,0.0,198.85124496607202
2023-06-15 00:10:45,310.1303,0.3007,0.0,199.60838804084534
2023-06-15 00:10:50,309.9636,0.3124,0.0,199.2518832259129
2023-06-15 00:10:55,310.9249,0.3126,0.0,201.64283422031903
2023-06-15 00:11:00,310.1615,0.3167,0.0,198.0460230431773
2023-06-15 00:11:05,310.6292,0.3267,0.0124,196.0837432407229
2023-06-15 00:11:10,309.9882,0.3331,0.0,204.90123742140037
2023-06-15 00:11:15,310.0666,0.3463,0.0,198.91614880077077
2023-06-15 00:11:20,311.7247,0.2697,0.0,200.49694705420634
2023-06-15 00:11:25,311.4351,0.3251,0.0068,196.37754271596188
2023-06-15 00:11:30,310.3437,0.3549,0.0051,199.85197216698913
2023-06-15 00:11:35,310.4779,0.3127,0.0016,200.8231991266415
2023-06-15 00:11:40,310.6521,0.3274,0.0,197.33951543649948
2023-06-15 00:11:45,309.1931,0.3404,0.0012,195.94482660752016
2023-06-15 00:11:50,311.4356,0.3285,0.0,197.97275392626366
2023-06-15 00:11:55,310.1254,0.3049,0.0246,202.57931500306762
2023-06-15 00:12:00,311.4854,0.297,0.0,199.97554734103534
2023-06-15 00:12:05,311.2231,0.3063,0.0,197.5825167563216
2023-06-15 00:12:10,310.1907,0.3208,0.0008,202.8374972183702
2023-06-15 00:12:15,310.923,0.3344,0.0,196.01698704230773
2023-06-15 00:12:20,309.7852,0.3309,0.0,196.9353766471511
